rollno,register_sem,subno,sub_type
1801CS50,7,HS531,Open Elective
1801CS50,7,CS577,Department Elective - IV
1801CS50,7,CS571,Department Elective - II
1801CS50,7,CS555,Department Elective - III
1801CS50,7,CS491,CORE
1801CS50,7,HS531,Open Elective
1801CS50,7,CS577,Department Elective - IV
1801CS50,7,CS571,Department Elective - II
1801CS50,7,CS555,Department Elective - III
1801CS50,7,CS491,CORE
rollno,register_sem,subno,sub_type
1801CS50,7,HS531,Open Elective
rollno,register_sem,subno,sub_type
1801CS50,7,CS577,Department Elective - IV
rollno,register_sem,subno,sub_type
1801CS50,7,CS571,Department Elective - II
rollno,register_sem,subno,sub_type
1801CS50,7,CS555,Department Elective - III
rollno,register_sem,subno,sub_type
1801CS50,7,CS491,CORE
rollno,register_sem,subno,sub_type
1801CS50,7,HS531,Open Elective
rollno,register_sem,subno,sub_type
1801CS50,7,CS577,Department Elective - IV
rollno,register_sem,subno,sub_type
1801CS50,7,CS571,Department Elective - II
rollno,register_sem,subno,sub_type
1801CS50,7,CS555,Department Elective - III
rollno,register_sem,subno,sub_type
1801CS50,7,CS491,CORE
rollno,register_sem,subno,sub_type
1801CS50,7,HS531,Open Elective
rollno,register_sem,subno,sub_type
1801CS50,7,CS577,Department Elective - IV
rollno,register_sem,subno,sub_type
1801CS50,7,CS571,Department Elective - II
rollno,register_sem,subno,sub_type
1801CS50,7,CS555,Department Elective - III
rollno,register_sem,subno,sub_type
1801CS50,7,CS491,CORE
