rollno,register_sem,subno,sub_type
2012CH02,3,CH591,CORE
2012CH02,3,CH525,CORE
2012CH02,3,CH527,CORE
2012CH02,3,CH530,CORE
2012CH02,3,CH523,CORE
2012CH02,3,CB501,Elective - I
2012CH02,3,CH521,CORE
2012CH02,3,CH591,CORE
2012CH02,3,CH525,CORE
2012CH02,3,CH527,CORE
2012CH02,3,CH530,CORE
2012CH02,3,CH523,CORE
2012CH02,3,CB501,Elective - I
2012CH02,3,CH521,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH591,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH525,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH527,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH530,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH523,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CB501,Elective - I
rollno,register_sem,subno,sub_type
2012CH02,3,CH521,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH591,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH525,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH527,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH530,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH523,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CB501,Elective - I
rollno,register_sem,subno,sub_type
2012CH02,3,CH521,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH591,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH525,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH527,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH530,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CH523,CORE
rollno,register_sem,subno,sub_type
2012CH02,3,CB501,Elective - I
rollno,register_sem,subno,sub_type
2012CH02,3,CH521,CORE
